,Hour,LCA_Score,db
0,0,0.000183575,DK_dynamic_mix_hour_0
1,1,0.00008288,DK_dynamic_mix_hour_1
2,2,0.00015316,DK_dynamic_mix_hour_2
3,3,0.000304059,DK_dynamic_mix_hour_3
4,4,0.000347388,DK_dynamic_mix_hour_4
5,5,0.000145807,DK_dynamic_mix_hour_5
6,6,0.000287057,DK_dynamic_mix_hour_6
7,7,0.000278712,DK_dynamic_mix_hour_7
8,8,0.000206272,DK_dynamic_mix_hour_8
9,9,0.00025405,DK_dynamic_mix_hour_9
10,10,0.000161105,DK_dynamic_mix_hour_10
11,11,0.000177838,DK_dynamic_mix_hour_11
12,12,0.000265076,DK_dynamic_mix_hour_12
13,13,0.00020662,DK_dynamic_mix_hour_13
14,14,0.000164668,DK_dynamic_mix_hour_14
15,15,0.000201153,DK_dynamic_mix_hour_15
16,16,0.000250474,DK_dynamic_mix_hour_16
17,17,0.00013818,DK_dynamic_mix_hour_17
18,18,0.000156722,DK_dynamic_mix_hour_18
19,19,0.000213475,DK_dynamic_mix_hour_19
20,20,0.00021205,DK_dynamic_mix_hour_20
21,21,0.000235404,DK_dynamic_mix_hour_21
22,22,0.000150899,DK_dynamic_mix_hour_22
23,23,0.000303211,DK_dynamic_mix_hour_23
,,0.005079834,
