,CSTR,Hydrocyclone,Centrifuge,Pump,Total,
0,0.000120277,2.84E-05,0.00027093,7.90E-05,0.000165406,4.99E-04
1,0.000158099,1.09E-05,6.87E-05,2.57E-05,0.00063413,2.63E-04
2,0.000287153,2.76E-05,0.000171158,2.47E-05,0.000178636,5.11E-04
3,0.000217708,2.30E-05,0.000130423,7.09E-05,0.000202304,4.42E-04
4,0.000121503,8.30E-06,0.000280547,2.57E-05,0.000871334,4.36E-04
5,0.000401493,1.10E-05,0.000309319,0.000171217,0.000219659,8.93E-04
6,0.000110059,3.01E-05,5.92E-05,9.87E-05,0.000739795,2.98E-04
7,0.000124165,1.59E-05,0.00023744,3.48E-05,0.001073792,4.12E-04
8,0.000146522,1.56E-05,0.000285673,0.000103426,0.000273696,5.51E-04
9,0.000333061,3.51E-05,0.000114976,4.39E-05,0.000317922,5.27E-04
10,0.000311434,1.82E-05,0.000110667,9.41E-05,0.000366089,5.34E-04
11,0.000316981,1.69E-05,0.000104713,7.18E-05,0.000383869,5.10E-04
12,0.0001594,1.64E-05,9.97E-05,5.14E-05,0.000430165,3.27E-04
13,0.000165999,1.98E-05,8.98E-05,5.75E-05,0.000391997,3.33E-04
14,0.000145318,2.08E-05,0.000205734,4.16E-05,0.000287195,4.13E-04
15,0.000161677,2.37E-05,0.000134415,5.35E-05,0.000303927,3.73E-04
16,0.000241773,2.25E-05,0.000114395,7.44E-05,0.000334154,4.53E-04
17,0.000301279,1.57E-05,9.97E-05,3.53E-05,0.000565669,4.52E-04
18,0.000134535,1.47E-05,0.000194212,4.24E-05,0.000529554,3.86E-04
19,0.000415687,6.45E-05,7.92E-05,4.58E-05,0.000847646,6.05E-04
20,0.000522086,4.21E-05,8.10E-05,0.000108103,0.001671771,7.53E-04
21,0.000643234,1.34E-05,7.59E-05,0.000173402,0.001264353,9.06E-04
22,0.000468911,4.92E-05,0.000210574,3.41E-05,0.000187275,7.63E-04
23,0.000258565,7.88E-06,0.00015177,2.58E-05,0.000556591,4.44E-04
,,,,,,0.01209
