,CSTR,Hydrocyclone,Centrifuge,Pump,Total,
0,8.54E-05,1.18E-05,5.88E-05,2.02E-05,0.000183443,1.76E-04
1,6.84E-05,5.04E-06,3.84E-05,1.48E-05,0.000115721,1.27E-04
2,9.06E-05,3.22E-06,3.92E-05,5.64E-05,0.000186629,1.89E-04
3,5.40E-05,7.63E-06,4.82E-05,1.73E-05,0.000151275,1.27E-04
4,8.16E-05,8.25E-06,3.13E-05,2.92E-05,0.000104247,1.50E-04
5,6.59E-05,5.99E-06,5.52E-05,1.76E-05,0.000109319,1.45E-04
6,0.000105701,4.79E-06,7.51E-05,1.29E-05,0.000140531,1.99E-04
7,5.79E-05,5.06E-06,7.10E-05,2.36E-05,0.000183236,1.58E-04
8,5.87E-05,8.43E-06,5.59E-05,2.34E-05,0.000115155,1.46E-04
9,6.90E-05,8.07E-06,3.56E-05,2.67E-05,0.000176226,1.39E-04
10,9.56E-05,1.12E-05,3.54E-05,1.55E-05,0.000199818,1.58E-04
11,5.20E-05,6.59E-06,4.76E-05,1.91E-05,0.000215469,1.25E-04
12,9.47E-05,6.69E-06,9.01E-05,2.10E-05,0.000195555,2.12E-04
13,5.89E-05,6.43E-06,4.54E-05,2.13E-05,0.00022355,1.32E-04
14,7.71E-05,9.27E-06,7.91E-05,3.59E-05,0.000202779,2.01E-04
15,0.00020294,1.37E-05,4.78E-05,3.03E-05,0.000121315,2.95E-04
16,0.00011017,1.18E-05,4.52E-05,1.77E-05,0.000115993,1.85E-04
17,0.000105397,8.68E-06,7.38E-05,3.53E-05,0.000250849,2.23E-04
18,0.00010574,6.67E-06,5.77E-05,1.67E-05,0.000143445,1.87E-04
19,4.91E-05,6.89E-06,4.36E-05,1.86E-05,0.000147085,1.18E-04
20,9.50E-05,5.84E-06,5.57E-05,1.89E-05,0.000215876,1.76E-04
21,6.98E-05,5.63E-06,7.81E-05,2.41E-05,0.00013405,1.78E-04
22,4.79E-05,6.49E-06,6.72E-05,2.97E-05,0.000178559,1.51E-04
23,0.000104082,5.46E-06,4.97E-05,1.99E-05,0.000116657,1.79E-04
,,,,,0.003926783,0.004076482
