,Hour,LCA_Score,db
0,0,0.000152287,DK_dynamic_mix_hour_0
1,1,0.000347091,DK_dynamic_mix_hour_1
2,2,0.000310638,DK_dynamic_mix_hour_2
3,3,0.000159074,DK_dynamic_mix_hour_3
4,4,0.000184576,DK_dynamic_mix_hour_4
5,5,0.000337065,DK_dynamic_mix_hour_5
6,6,0.000325752,DK_dynamic_mix_hour_6
7,7,0.000130033,DK_dynamic_mix_hour_7
8,8,0.000187417,DK_dynamic_mix_hour_8
9,9,0.000186688,DK_dynamic_mix_hour_9
10,10,0.000302073,DK_dynamic_mix_hour_10
11,11,0.000226305,DK_dynamic_mix_hour_11
12,12,0.000188898,DK_dynamic_mix_hour_12
13,13,0.000224815,DK_dynamic_mix_hour_13
14,14,0.000326672,DK_dynamic_mix_hour_14
15,15,0.000220444,DK_dynamic_mix_hour_15
16,16,0.00044731,DK_dynamic_mix_hour_16
17,17,0.000124949,DK_dynamic_mix_hour_17
18,18,0.00032999,DK_dynamic_mix_hour_18
19,19,0.000328366,DK_dynamic_mix_hour_19
20,20,0.000170194,DK_dynamic_mix_hour_20
21,21,0.0002065,DK_dynamic_mix_hour_21
22,22,0.000183784,DK_dynamic_mix_hour_22
23,23,0.000228737,DK_dynamic_mix_hour_23
,,0.00582966,
