,Hour,LCA_Score,db
0,0,0.000220898,DK_dynamic_mix_hour_0
1,1,0.000156636,DK_dynamic_mix_hour_1
2,2,0.001191428,DK_dynamic_mix_hour_2
3,3,0.000929817,DK_dynamic_mix_hour_3
4,4,0.001027037,DK_dynamic_mix_hour_4
5,5,0.000206321,DK_dynamic_mix_hour_5
6,6,0.001461285,DK_dynamic_mix_hour_6
7,7,0.001002421,DK_dynamic_mix_hour_7
8,8,0.001204659,DK_dynamic_mix_hour_8
9,9,0.000395204,DK_dynamic_mix_hour_9
10,10,0.000904327,DK_dynamic_mix_hour_10
11,11,0.000414133,DK_dynamic_mix_hour_11
12,12,0.000326271,DK_dynamic_mix_hour_12
13,13,0.000764699,DK_dynamic_mix_hour_13
14,14,0.000440871,DK_dynamic_mix_hour_14
15,15,0.000464972,DK_dynamic_mix_hour_15
16,16,0.000406484,DK_dynamic_mix_hour_16
17,17,0.00075345,DK_dynamic_mix_hour_17
18,18,0.000367054,DK_dynamic_mix_hour_18
19,19,0.000237375,DK_dynamic_mix_hour_19
20,20,0.001249406,DK_dynamic_mix_hour_20
21,21,0.000228348,DK_dynamic_mix_hour_21
22,22,0.001170345,DK_dynamic_mix_hour_22
23,23,0.001018042,DK_dynamic_mix_hour_23
,,0.016541482,
