,CSTR,Hydrocyclone,Centrifuge,Pump,Total,
0,0.000100241,6.40E-06,7.03E-05,2.74E-05,0.000405689,2.04E-04
1,5.69E-05,5.07E-06,3.63E-05,1.95E-05,0.000203246,1.18E-04
2,0.000101559,1.03E-05,6.77E-05,1.66E-05,0.000172994,1.96E-04
3,0.000111316,6.98E-06,0.000112075,2.55E-05,0.000132481,2.56E-04
4,9.52E-05,5.50E-06,3.61E-05,2.35E-05,0.000137396,1.60E-04
5,6.94E-05,2.45E-05,2.79E-05,1.46E-05,0.000104856,1.36E-04
6,0.000106596,1.09E-05,3.50E-05,2.32E-05,0.000271133,1.76E-04
7,0.0001224,9.43E-06,3.83E-05,1.68E-05,0.000217476,1.87E-04
8,6.44E-05,6.27E-06,3.57E-05,2.31E-05,0.000235677,1.29E-04
9,5.72E-05,1.05E-05,5.14E-05,2.55E-05,0.000134094,1.45E-04
10,7.47E-05,9.33E-06,6.06E-05,2.27E-05,0.000182795,1.67E-04
11,6.29E-05,2.31E-05,5.35E-05,1.83E-05,0.000114322,1.58E-04
12,0.000103315,8.00E-06,4.92E-05,2.42E-05,0.00014188,1.85E-04
13,6.36E-05,7.59E-06,4.91E-05,2.08E-05,0.000108328,1.41E-04
14,6.49E-05,1.01E-05,3.82E-05,2.18E-05,0.000190365,1.35E-04
15,0.000108043,6.05E-06,5.87E-05,3.30E-05,0.000165581,2.06E-04
16,6.02E-05,7.69E-06,6.11E-05,3.45E-05,0.000209833,1.64E-04
17,0.000113003,4.99E-06,4.09E-05,2.63E-05,0.000122904,1.85E-04
18,9.37E-05,1.20E-05,8.42E-05,1.79E-05,0.000134687,2.08E-04
19,0.000107515,9.16E-06,6.56E-05,3.32E-05,9.72E-05,2.15E-04
20,5.47E-05,1.10E-05,4.09E-05,1.70E-05,0.000180569,1.24E-04
21,5.07E-05,6.57E-06,4.04E-05,2.53E-05,0.000141917,1.23E-04
22,4.77E-05,5.87E-06,6.83E-05,2.40E-05,0.00010506,1.46E-04
23,0.000104281,6.82E-06,9.76E-05,2.16E-05,0.000170898,2.30E-04
,,,,,,0.0040941
